,Agriculture,Forestry,Fishery,Mining Oil&Gas,Remainder Mining,Supporting Mining,Food Supplements,Beverages,Tobacco,Textile&Clothing,Wood,Paper,Graphical,Oil,Chemical,Pharmaceutical,Rubber&Plastic,Building Material,Raw Metal,Metal Product,Electrotechnical,Electrical devices,Machines,Car,Remainder Transport,Furniture,Remainder industry,Reparation Machines,Energy,Waterpipes,Sewerage,General Building,Ground&Water Building,Specialized building,Car trade&repair,Wholesale,Retail,Land Transport,Water Transport,Air Transport,Storage for transport,Postal,Lodging,Restaurants,Publishers,"Production of TV, radio & music",Broadcasting,Telecommunication,IT-services,Info services,Banking,Insurers&pensions,Remainder Financial Services,Rental,Exploitation real estate,Legal,Holdings,Architecture,Research,Advertising,Design,Veterinary,Rental of movable property,Employment Agencies,Travel services,Security,Cleaning,Remaining Services,Public services,Education,Healthcare,Caretaking,Creative,Libraries&Archives,Lotteries,Sport,Hobby Associations,Reparation goods,Remainder of Personal Service Provision,Households with personnel
Chemical,178.0,0.0,0.0,6.0,15.0,0.0,170.0,10.0,70.0,107.0,14.0,204.0,77.0,257.0,7825.0,46.0,1170.0,58.0,47.0,71.0,25.0,41.0,38.0,32.0,20.0,247.0,126.0,21.0,7.0,35.0,8.0,88.0,17.0,234.0,16.0,192.0,2.0,12.0,4.0,0.0,2.0,0.0,2.0,5.0,25.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,61.0,0.0,21.0,3.0,129.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,28.0,36.0,30.0,8.0,9.0,3.0,1.0,4.0,0.0,5.0,26.0,0.0
Pharmaceutical,34.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7.0,3.0,0.0,5.0,1.0,0.0,84.0,194.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,244.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Rubber&Plastic,46.0,0.0,0.0,6.0,2.0,17.0,291.0,40.0,12.0,8.0,111.0,126.0,10.0,7.0,162.0,32.0,254.0,152.0,18.0,97.0,10.0,39.0,113.0,178.0,35.0,56.0,84.0,23.0,2.0,0.0,6.0,196.0,64.0,485.0,12.0,45.0,27.0,20.0,1.0,3.0,13.0,2.0,4.0,9.0,29.0,4.0,2.0,6.0,9.0,1.0,3.0,4.0,3.0,32.0,87.0,10.0,25.0,1.0,11.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,18.0,12.0,6.0,11.0,16.0,38.0,5.0,4.0,0.0,4.0,6.0,25.0,13.0,0.0
Building Material,9.0,0.0,0.0,0.0,0.0,0.0,27.0,65.0,5.0,0.0,1.0,1.0,0.0,0.0,9.0,10.0,5.0,224.0,7.0,26.0,12.0,5.0,8.0,3.0,0.0,5.0,12.0,2.0,7.0,0.0,5.0,1731.0,461.0,659.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,95.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,22.0,19.0,12.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,11.0,0.0
Raw Metal,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,54.0,0.0,5.0,21.0,17.0,1127.0,13.0,11.0,149.0,71.0,50.0,14.0,4.0,14.0,24.0,0.0,33.0,102.0,118.0,111.0,40.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Metal Product,37.0,2.0,0.0,16.0,7.0,9.0,318.0,55.0,2.0,2.0,59.0,6.0,5.0,2.0,114.0,5.0,22.0,12.0,31.0,3157.0,47.0,7.0,1450.0,333.0,396.0,35.0,23.0,1378.0,43.0,2.0,129.0,1677.0,756.0,1421.0,30.0,353.0,5.0,16.0,2.0,0.0,10.0,0.0,3.0,3.0,18.0,1.0,0.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,79.0,7.0,55.0,295.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,21.0,1.0,264.0,17.0,20.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0
Electrotechnical,8.0,0.0,0.0,14.0,3.0,4.0,33.0,3.0,9.0,2.0,1.0,4.0,3.0,5.0,29.0,3.0,4.0,11.0,47.0,25.0,183.0,33.0,53.0,16.0,34.0,4.0,11.0,25.0,12.0,0.0,15.0,46.0,9.0,74.0,7.0,53.0,29.0,15.0,2.0,0.0,32.0,1.0,9.0,12.0,1.0,3.0,2.0,283.0,28.0,0.0,4.0,3.0,10.0,3.0,11.0,16.0,151.0,3.0,4.0,1.0,6.0,0.0,1.0,1.0,0.0,39.0,1.0,6.0,24.0,18.0,341.0,7.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0
Electrical devices,5.0,0.0,0.0,5.0,4.0,23.0,11.0,6.0,18.0,0.0,0.0,2.0,3.0,1.0,12.0,2.0,8.0,3.0,6.0,20.0,22.0,84.0,26.0,53.0,44.0,2.0,6.0,51.0,2.0,0.0,7.0,126.0,10.0,166.0,0.0,36.0,20.0,9.0,2.0,0.0,20.0,0.0,6.0,10.0,0.0,0.0,0.0,50.0,14.0,0.0,8.0,4.0,0.0,2.0,43.0,14.0,469.0,146.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,14.0,9.0,12.0,7.0,0.0,0.0,0.0,12.0,0.0,3.0,2.0,0.0
Machines,318.0,12.0,5.0,27.0,12.0,19.0,165.0,17.0,3.0,11.0,29.0,30.0,12.0,30.0,181.0,18.0,74.0,38.0,123.0,242.0,25.0,34.0,1484.0,212.0,101.0,18.0,21.0,206.0,83.0,6.0,63.0,289.0,57.0,263.0,114.0,254.0,134.0,54.0,16.0,0.0,63.0,4.0,11.0,11.0,18.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,47.0,87.0,11.0,5.0,9.0,0.0,92.0,6.0,5.0,0.0,20.0,6.0,121.0,7.0,12.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0
Car,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1042.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,248.0,7.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remainder Transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,0.0,3.0,0.0,360.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,13.0,4.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Furniture,2.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,0.0,36.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,11.0,149.0,4.0,12.0,5.0,0.0,1.0,51.0,1.0,1.0,1.0,23.0,63.0,5.0,1.0,1.0,4.0,0.0,6.0,13.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0
Remainder industry,74.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,4.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,13.0,3.0,6.0,4.0,185.0,8.0,0.0,0.0,9.0,14.0,9.0,13.0,3.0,74.0,21.0,3.0,0.0,0.0,7.0,4.0,10.0,14.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,1.0,2.0,5.0,9.0,2.0,0.0,0.0,14.0,0.0,6.0,18.0,11.0,291.0,39.0,12.0,20.0,7.0,7.0,0.0,13.0,0.0,0.0,12.0,0.0
Reparation Machines,321.0,9.0,8.0,122.0,14.0,34.0,274.0,28.0,2.0,8.0,10.0,51.0,24.0,49.0,312.0,26.0,45.0,59.0,250.0,147.0,34.0,57.0,327.0,18.0,927.0,8.0,8.0,333.0,126.0,6.0,100.0,119.0,95.0,262.0,0.0,204.0,143.0,97.0,71.0,832.0,99.0,1.0,32.0,113.0,5.0,0.0,0.0,31.0,104.0,7.0,4.0,4.0,5.0,0.0,75.0,23.0,183.0,54.0,22.0,7.0,3.0,1.0,116.0,9.0,0.0,32.0,26.0,11.0,248.0,5.0,12.0,6.0,1.0,1.0,1.0,3.0,0.0,3.0,17.0,0.0
Energy,270.0,5.0,3.0,1190.0,18.0,8.0,201.0,9.0,132.0,10.0,7.0,37.0,13.0,109.0,654.0,7.0,71.0,62.0,149.0,92.0,15.0,29.0,62.0,19.0,15.0,23.0,20.0,20.0,2067.0,34.0,75.0,22.0,14.0,36.0,99.0,335.0,471.0,134.0,6.0,3.0,105.0,8.0,88.0,175.0,9.0,10.0,3.0,67.0,41.0,17.0,28.0,26.0,14.0,35.0,126.0,37.0,56.0,25.0,20.0,16.0,11.0,4.0,13.0,14.0,7.0,1.0,19.0,23.0,230.0,147.0,104.0,135.0,45.0,31.0,41.0,105.0,69.0,5.0,60.0,0.0
Waterpipes,36.0,0.0,0.0,5.0,13.0,19.0,66.0,5.0,18.0,0.0,3.0,2.0,1.0,6.0,38.0,10.0,7.0,6.0,37.0,4.0,4.0,1.0,5.0,3.0,0.0,1.0,3.0,3.0,13.0,11.0,25.0,3.0,2.0,9.0,4.0,17.0,11.0,4.0,1.0,0.0,2.0,1.0,18.0,8.0,1.0,1.0,0.0,1.0,1.0,5.0,6.0,6.0,5.0,0.0,11.0,7.0,17.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,41.0,13.0,19.0,22.0,7.0,1.0,0.0,13.0,8.0,1.0,9.0,0.0
Sewerage,376.0,0.0,2.0,6.0,12.0,1.0,207.0,8.0,4.0,2.0,1.0,22.0,9.0,13.0,302.0,2.0,131.0,117.0,443.0,302.0,17.0,22.0,17.0,5.0,2.0,3.0,6.0,6.0,19.0,3.0,1759.0,92.0,121.0,89.0,15.0,137.0,38.0,9.0,3.0,1.0,14.0,9.0,18.0,22.0,3.0,4.0,3.0,18.0,16.0,1.0,12.0,17.0,20.0,2.0,44.0,15.0,194.0,11.0,7.0,3.0,2.0,0.0,2.0,6.0,3.0,0.0,3.0,8.0,987.0,46.0,105.0,56.0,8.0,9.0,4.0,31.0,10.0,0.0,3.0,0.0
General Building,115.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,10.0,1.0,2.0,0.0,2.0,11.0,10.0,12.0,11.0,4237.0,653.0,475.0,6.0,87.0,20.0,7.0,2.0,1.0,63.0,2.0,12.0,12.0,0.0,1.0,0.0,48.0,8.0,0.0,5.0,4.0,3.0,2206.0,1773.0,25.0,196.0,413.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,275.0,303.0,94.0,166.0,3.0,1.0,6.0,26.0,12.0,0.0,3.0,0.0
Ground&Water Building,6.0,6.0,1.0,1.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,13.0,4.0,3.0,7.0,3.0,12.0,989.0,33.0,4.0,1114.0,827.0,713.0,3.0,86.0,13.0,57.0,0.0,0.0,373.0,0.0,6.0,17.0,0.0,0.0,1.0,226.0,0.0,0.0,0.0,0.0,0.0,27.0,55.0,0.0,4.0,123.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1754.0,12.0,5.0,22.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
Specialized building,240.0,5.0,1.0,10.0,1.0,4.0,76.0,7.0,2.0,7.0,3.0,13.0,10.0,6.0,99.0,11.0,15.0,10.0,34.0,32.0,5.0,2.0,27.0,12.0,42.0,3.0,10.0,10.0,58.0,12.0,29.0,8006.0,3221.0,4682.0,18.0,140.0,125.0,70.0,15.0,8.0,212.0,6.0,24.0,36.0,4.0,4.0,1.0,288.0,32.0,2.0,17.0,19.0,11.0,3038.0,2504.0,15.0,248.0,94.0,34.0,9.0,5.0,1.0,23.0,15.0,0.0,3.0,21.0,11.0,756.0,403.0,148.0,239.0,22.0,7.0,20.0,59.0,27.0,2.0,15.0,0.0
Car trade&repair,66.0,5.0,0.0,7.0,3.0,7.0,80.0,4.0,0.0,5.0,9.0,3.0,7.0,2.0,18.0,2.0,8.0,17.0,12.0,45.0,5.0,8.0,30.0,41.0,5.0,18.0,12.0,25.0,3.0,5.0,95.0,69.0,44.0,194.0,2530.0,421.0,123.0,679.0,0.0,0.0,74.0,35.0,5.0,31.0,6.0,8.0,2.0,36.0,51.0,8.0,48.0,57.0,35.0,0.0,51.0,52.0,249.0,56.0,6.0,36.0,24.0,2.0,1148.0,23.0,3.0,20.0,65.0,13.0,128.0,88.0,77.0,55.0,25.0,13.0,3.0,41.0,37.0,4.0,16.0,0.0
Wholesale,228.0,6.0,3.0,25.0,10.0,28.0,631.0,83.0,23.0,31.0,27.0,198.0,59.0,48.0,452.0,69.0,124.0,76.0,399.0,139.0,114.0,138.0,361.0,66.0,57.0,30.0,33.0,57.0,111.0,5.0,315.0,151.0,73.0,224.0,81.0,3618.0,557.0,122.0,31.0,26.0,135.0,65.0,47.0,108.0,59.0,31.0,14.0,148.0,590.0,120.0,35.0,32.0,48.0,0.0,129.0,167.0,327.0,190.0,35.0,53.0,74.0,2.0,120.0,67.0,32.0,12.0,45.0,36.0,235.0,33.0,57.0,57.0,18.0,13.0,5.0,21.0,27.0,9.0,20.0,0.0
Retail,5.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,11.0,0.0,6.0,4.0,3.0,3.0,6.0,7.0,4.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,15.0,8.0,48.0,919.0,12.0,2.0,0.0,7.0,8.0,3.0,6.0,0.0,0.0,0.0,173.0,4.0,0.0,5.0,3.0,3.0,0.0,11.0,6.0,25.0,8.0,0.0,5.0,30.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0,10.0,7.0,6.0,0.0,5.0,5.0,3.0,6.0,4.0,0.0,1.0,0.0
Land Transport,86.0,0.0,2.0,15.0,5.0,3.0,62.0,12.0,2.0,8.0,3.0,9.0,13.0,125.0,67.0,5.0,14.0,9.0,16.0,37.0,40.0,32.0,30.0,15.0,9.0,4.0,2.0,2.0,10.0,0.0,400.0,19.0,24.0,33.0,115.0,983.0,157.0,5803.0,28.0,23.0,217.0,7.0,7.0,11.0,13.0,18.0,7.0,29.0,34.0,4.0,17.0,34.0,20.0,0.0,11.0,12.0,146.0,11.0,5.0,8.0,6.0,0.0,18.0,16.0,309.0,1.0,3.0,4.0,231.0,60.0,119.0,143.0,11.0,6.0,1.0,18.0,40.0,0.0,6.0,0.0
Water Transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,142.0,625.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
